epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,32.2805,1.38382,0.68126,0.9965,0.85346,0.000329365,0.000329365,0.000329365
2,58.1678,0.77827,0.75832,1,0.61428,0.000662626,0.000662626,0.000662626
3,85.4036,0.71437,0.7268,0.99299,0.74303,0.000995595,0.000995595,0.000995595
4,110.186,0.67107,0.83363,0.9965,0.4678,0.000999014,0.000999014,0.000999014
5,135.573,0.63459,0.82487,1,0.4633,0.000998248,0.000998248,0.000998248
6,161.237,0.51628,0.85464,1,0.41037,0.000997264,0.000997264,0.000997264
7,188.101,0.4838,0.88441,0.99825,0.35238,0.000996061,0.000996061,0.000996061
8,213.541,0.42789,0.85289,0.99825,0.42521,0.000994642,0.000994642,0.000994642
9,239.4,0.41025,0.87741,0.99825,0.34002,0.000993005,0.000993005,0.000993005
10,265.499,0.36469,0.90368,0.99825,0.30237,0.000991152,0.000991152,0.000991152
11,291.591,0.30585,0.91769,1,0.22465,0.000989085,0.000989085,0.000989085
12,316.876,0.31691,0.92294,1,0.2576,0.000986803,0.000986803,0.000986803
13,344.303,0.34704,0.89842,1,0.27958,0.000984307,0.000984307,0.000984307
14,370.015,0.30349,0.92644,1,0.23649,0.0009816,0.0009816,0.0009816
15,395.873,0.28788,0.91068,0.99825,0.27398,0.000978681,0.000978681,0.000978681
16,421.502,0.29169,0.92469,0.99825,0.19733,0.000975553,0.000975553,0.000975553
17,446.827,0.2631,0.92294,1,0.23409,0.000972216,0.000972216,0.000972216
18,473.278,0.27373,0.90368,1,0.28196,0.000968672,0.000968672,0.000968672
19,500.613,0.25772,0.90893,1,0.28868,0.000964923,0.000964923,0.000964923
20,525.743,0.22248,0.93695,0.99825,0.20559,0.000960971,0.000960971,0.000960971
21,551.273,0.24772,0.9282,1,0.24492,0.000956816,0.000956816,0.000956816
22,577.485,0.22697,0.92119,1,0.24784,0.000952461,0.000952461,0.000952461
23,604.873,0.25658,0.9352,0.99825,0.23006,0.000947908,0.000947908,0.000947908
24,629.349,0.24095,0.92469,1,0.23764,0.000943159,0.000943159,0.000943159
25,656.26,0.20308,0.94046,0.99825,0.18505,0.000938215,0.000938215,0.000938215
26,681.741,0.20774,0.9387,1,0.20201,0.00093308,0.00093308,0.00093308
27,708.412,0.18944,0.95622,0.99825,0.18699,0.000927754,0.000927754,0.000927754
28,733.342,0.16898,0.94746,0.99825,0.20534,0.000922242,0.000922242,0.000922242
29,759.745,0.1913,0.93695,1,0.22408,0.000916544,0.000916544,0.000916544
30,784.866,0.18968,0.94046,1,0.21671,0.000910664,0.000910664,0.000910664
31,811.775,0.16688,0.95447,0.99825,0.18355,0.000904604,0.000904604,0.000904604
32,836.797,0.18863,0.96322,1,0.14246,0.000898367,0.000898367,0.000898367
33,863.857,0.19869,0.95447,1,0.17961,0.000891955,0.000891955,0.000891955
34,890.329,0.20135,0.94221,0.99825,0.21492,0.000885371,0.000885371,0.000885371
35,915.259,0.17706,0.95271,1,0.18861,0.000878619,0.000878619,0.000878619
36,940.139,0.15836,0.95271,1,0.14986,0.000871701,0.000871701,0.000871701
37,966.546,0.15052,0.94921,0.99825,0.22528,0.00086462,0.00086462,0.00086462
38,993.928,0.16077,0.95972,1,0.1789,0.000857379,0.000857379,0.000857379
39,1019.32,0.1433,0.96673,1,0.14677,0.000849982,0.000849982,0.000849982
40,1045.26,0.14624,0.96147,1,0.19525,0.000842431,0.000842431,0.000842431
41,1071.4,0.12563,0.95972,1,0.18952,0.000834731,0.000834731,0.000834731
42,1098.44,0.13899,0.95447,1,0.19558,0.000826884,0.000826884,0.000826884
43,1124.34,0.13855,0.95972,1,0.17746,0.000818893,0.000818893,0.000818893
44,1150.83,0.13822,0.96673,1,0.16617,0.000810763,0.000810763,0.000810763
45,1177.36,0.12746,0.95447,1,0.19437,0.000802497,0.000802497,0.000802497
46,1204.37,0.1338,0.96322,1,0.15166,0.000794099,0.000794099,0.000794099
47,1231.89,0.12373,0.95271,1,0.17416,0.000785571,0.000785571,0.000785571
48,1257.98,0.10959,0.97023,1,0.15417,0.000776919,0.000776919,0.000776919
49,1283.93,0.10611,0.96497,1,0.14017,0.000768145,0.000768145,0.000768145
50,1309.58,0.10102,0.96497,1,0.15002,0.000759254,0.000759254,0.000759254
51,1335.81,0.12649,0.96673,1,0.17053,0.00075025,0.00075025,0.00075025
52,1362.35,0.11841,0.96497,1,0.16029,0.000741136,0.000741136,0.000741136
53,1387.68,0.12862,0.97023,1,0.12086,0.000731916,0.000731916,0.000731916
54,1413.83,0.11032,0.96848,0.99825,0.15769,0.000722595,0.000722595,0.000722595
55,1439.37,0.08722,0.97198,1,0.12662,0.000713177,0.000713177,0.000713177
56,1466.29,0.1123,0.95622,1,0.16004,0.000703665,0.000703665,0.000703665
57,1493.34,0.09927,0.96147,1,0.18112,0.000694064,0.000694064,0.000694064
58,1520.57,0.10051,0.97023,0.99825,0.13542,0.000684378,0.000684378,0.000684378
59,1547.3,0.09962,0.96147,0.99825,0.15073,0.000674612,0.000674612,0.000674612
60,1574.48,0.11027,0.96848,0.99825,0.13915,0.000664769,0.000664769,0.000664769
61,1600.23,0.0922,0.97023,0.99825,0.13332,0.000654854,0.000654854,0.000654854
62,1626.07,0.08822,0.97373,0.9965,0.14868,0.000644871,0.000644871,0.000644871
63,1652.46,0.06959,0.96322,0.99825,0.18038,0.000634825,0.000634825,0.000634825
64,1678.93,0.07242,0.97898,0.99825,0.15033,0.000624721,0.000624721,0.000624721
65,1706.34,0.07347,0.96673,0.99825,0.14203,0.000614561,0.000614561,0.000614561
66,1733.23,0.08193,0.96848,1,0.14278,0.000604352,0.000604352,0.000604352
67,1759.95,0.08417,0.96497,1,0.14803,0.000594097,0.000594097,0.000594097
68,1787.57,0.08174,0.97723,1,0.15154,0.000583801,0.000583801,0.000583801
69,1814.35,0.06428,0.97198,1,0.15305,0.000573468,0.000573468,0.000573468
70,1841.17,0.07521,0.96848,1,0.14797,0.000563104,0.000563104,0.000563104
71,1867.82,0.07159,0.97023,0.99825,0.1742,0.000552712,0.000552712,0.000552712
72,1894.32,0.07052,0.97023,0.99825,0.17622,0.000542297,0.000542297,0.000542297
73,1920.29,0.08259,0.97023,1,0.17229,0.000531864,0.000531864,0.000531864
74,1945.22,0.04126,0.97723,1,0.15548,0.000521417,0.000521417,0.000521417
75,1971.93,0.06056,0.97373,1,0.14938,0.000510961,0.000510961,0.000510961
76,1997.01,0.05754,0.97373,1,0.15706,0.0005005,0.0005005,0.0005005
77,2023.09,0.07873,0.96848,0.99825,0.18359,0.000490039,0.000490039,0.000490039
78,2048.7,0.06405,0.97548,1,0.13358,0.000479583,0.000479583,0.000479583
79,2074.55,0.05746,0.97198,1,0.16834,0.000469136,0.000469136,0.000469136
80,2100.87,0.05775,0.97198,0.99825,0.15737,0.000458703,0.000458703,0.000458703
81,2128.34,0.06622,0.96673,1,0.16143,0.000448288,0.000448288,0.000448288
82,2153.58,0.06461,0.97548,0.99825,0.14814,0.000437896,0.000437896,0.000437896
83,2180.39,0.06114,0.97198,1,0.15544,0.000427532,0.000427532,0.000427532
84,2205.77,0.06007,0.97373,1,0.18511,0.000417199,0.000417199,0.000417199
85,2232.25,0.04205,0.97548,0.99825,0.20296,0.000406903,0.000406903,0.000406903
86,2257.99,0.05137,0.97723,1,0.16827,0.000396648,0.000396648,0.000396648
87,2284.06,0.04696,0.97198,1,0.15849,0.000386439,0.000386439,0.000386439
88,2311.57,0.05342,0.97198,1,0.1852,0.000376279,0.000376279,0.000376279
89,2337.69,0.04427,0.97373,0.99825,0.20032,0.000366175,0.000366175,0.000366175
